Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
married,Technological specialization diploma holders,2nd choice,Informatics Engineering,daytime,Technological specialization course,160.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,160.0,no,no,yes,yes,male,no,41,no,3,7,15,5,14.33333333,0,1,6,16,6,14.63636364,0,12.4,0.5,1.79,Enrolled
single,Over 23 years old,2nd choice,Agronomy,daytime,Secondary education,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Administrative,140.0,no,no,no,yes,male,no,35,no,0,6,16,4,12.0,0,0,6,11,3,10.33333333,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,2nd choice,Tourism ,daytime,Secondary education,128.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,118.2,no,no,no,yes,female,no,19,no,0,5,5,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,145.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Armed Forces,Services/Security/Sales,150.6,yes,no,no,yes,male,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
married,Over 23 years old,2nd choice,Nursing,daytime,Secondary education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Cleaners,Metal workers,115.2,no,no,no,yes,female,no,48,no,0,7,11,4,11.75,0,0,7,14,3,11.725,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,132.0,Portuguese,Basic Ed 3rd Cycle,Bachelor's,Unskilled Workers,Technicians,126.0,yes,no,no,yes,female,no,19,no,0,7,7,6,12.18333333,0,0,7,7,6,12.18333333,0,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,2nd choice,Agronomy,daytime,Technological specialization course,160.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Skilled Workers,160.0,yes,no,no,no,male,no,30,no,4,9,18,6,11.83333333,0,1,8,21,4,11.0,0,15.5,2.8,-4.06,Dropout
married,Change of course,2nd choice,Journalism and Communication,daytime,Secondary education,160.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Student,160.0,no,no,yes,no,male,no,51,no,0,4,4,0,0.0,0,0,4,4,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Ordinance No. 854-B/99,2nd choice,Veterinary Nursing,daytime,Secondary education,184.4,Cape Verdean,Bachelor's,Basic Ed 3rd Cycle,Intellectuals,Machine Operators,184.4,no,no,no,yes,female,no,18,yes,0,6,8,6,15.0,0,0,6,10,5,14.33333333,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,149.0,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Technicians,156.0,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,146.0,Portuguese,Degree (1st cycle),Master (2nd cycle),Administrative,Administrative,150.2,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,6th choice,Nursing,daytime,Secondary education,139.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Skilled Workers,Skilled Workers,126.3,yes,no,no,yes,female,yes,18,no,0,8,8,8,13.435,0,0,8,8,8,13.435,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,2nd choice,Equinculture,daytime,Secondary education,152.0,Portuguese,Bachelor's,Technical-professional,Administrative,Technicians,146.1,yes,no,no,yes,female,no,18,no,0,5,8,4,13.5,2,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,147.0,Portuguese,Bachelor's,Degree,Administrative,Machine Operators,145.3,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
single,3rd phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,121.0,Portuguese,Secondary Education,Secondary Education,Administrative,Technicians,116.8,yes,no,no,yes,female,no,23,no,15,17,18,17,11.5,0,16,17,17,17,12.17647059,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Communication Design,daytime,Secondary education,124.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Skilled Workers,Unskilled Workers,132.1,yes,no,no,yes,female,no,19,no,0,6,10,2,10.5,0,0,6,6,3,11.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,105.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Machine Operators,Machine Operators,102.6,no,yes,no,yes,female,no,21,no,0,6,13,4,12.0,0,0,6,17,2,11.5,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Degree,Degree,Intellectuals,Intellectuals,112.3,yes,no,yes,no,female,no,18,no,0,6,7,5,12.2,0,0,6,11,4,11.5,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,143.0,Portuguese,Other 11th,Other 11th,Administrative,Legislative/Executives,155.3,yes,yes,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,Short cycle diploma holders,2nd choice,Veterinary Nursing,daytime,Professional higher technical course,150.0,Portuguese,Degree,Secondary Education,Intellectuals,Machine Operators,153.8,yes,no,no,yes,female,no,21,no,7,11,15,10,14.5,0,4,9,15,8,14.0,0,8.9,1.4,3.51,Graduate
single,Change of course,2nd choice,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Secondary Education,Basic Ed 1st Cycle,Technicians,Student,110.0,no,no,yes,yes,female,no,20,no,0,6,7,6,13.33333333,0,0,6,8,6,12.66666667,0,12.4,0.5,1.79,Graduate
single,Transfer,2nd choice,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education,12th Not Completed,Administrative,Administrative,128.2,no,no,no,yes,female,no,24,no,5,11,29,9,12.0,6,4,10,21,9,12.55555556,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,2nd choice,Equinculture,daytime,Secondary education,127.0,Portuguese,Secondary Education,Secondary Education,Administrative,Administrative,120.4,yes,no,no,yes,female,no,18,no,0,6,9,6,15.125,0,0,6,9,6,14.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,2nd choice,Nursing,daytime,Secondary education,160.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Administrative,Armed Forces,153.0,yes,no,no,yes,female,no,18,no,0,7,7,6,13.11666667,0,0,7,7,6,13.11666667,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Skilled Workers,Unskilled Workers,117.9,yes,no,no,yes,female,no,19,no,0,6,7,6,12.83333333,0,0,6,7,6,11.66666667,0,11.1,0.6,2.02,Graduate
single,Technological specialization diploma holders,2nd choice,Social Service,daytime,Technological specialization course,150.0,Portuguese,Secondary Education,Basic Ed 1st Cycle,Administrative,Machine Operators,145.6,yes,no,no,yes,female,yes,20,no,3,6,6,6,13.33333333,0,2,6,6,6,14.16666667,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,7th choice,Nursing,daytime,Secondary education,117.0,Portuguese,Master's,Other 11th,Services/Security/Sales,Unskilled Workers,119.8,yes,no,no,yes,female,no,18,no,0,7,7,7,13.87714286,0,0,8,8,8,15.6625,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,7th choice,Nursing,daytime,Secondary education,141.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Armed Forces,126.8,yes,no,no,yes,female,no,18,no,0,8,8,7,12.94428571,0,0,8,8,7,12.94428571,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,2nd choice,Basic Education,daytime,Secondary education,112.0,Portuguese,Bachelor's,Basic Ed 3rd Cycle,Technicians,Unskilled Workers,106.1,yes,no,no,yes,female,no,19,no,0,6,8,5,12.33333333,0,0,6,8,5,11.0,0,15.5,2.8,-4.06,Enrolled
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,148.0,Portuguese,Degree,Degree,Intellectuals,Intellectuals,137.3,yes,no,no,yes,female,no,19,no,0,7,7,6,14.26666667,0,0,7,7,6,14.26666667,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent ,3rd choice,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Degree,Basic Ed 3rd Cycle,Administrative,Services/Security/Sales,115.5,yes,no,no,yes,female,no,18,no,0,6,8,5,13.0,0,0,6,8,5,14.0,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,3rd choice,Nursing,daytime,Secondary education,132.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Skilled Workers,127.5,yes,no,no,yes,female,no,20,no,0,8,8,8,12.48375,0,0,8,8,8,12.48375,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,3rd choice,Oral Hygiene,daytime,Secondary education,125.0,Portuguese,Basic Ed 2nd Cycle,Secondary Education,Unskilled Workers,Technicians,116.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.42857143,0,0,8,8,8,15.3125,0,16.2,0.3,-0.92,Graduate
married,2nd phase - general contingent,4th choice,Social Service (evening attendance),evening,Secondary education,123.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Technicians,Technicians,113.2,no,no,yes,no,female,no,18,no,0,6,9,3,10.66666667,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent ,2nd choice,Basic Education,daytime,Secondary education,142.0,Portuguese,Other 11th,Other 11th,Unskilled Workers,Administrative,132.6,yes,no,no,yes,female,no,18,no,0,6,8,5,15.4,0,0,6,7,5,12.2,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,148.0,Portuguese,Secondary Education,Basic Ed 1st Cycle,Administrative,Machine Operators,132.0,yes,no,no,yes,female,no,18,no,0,7,7,6,13.45,0,0,7,7,6,13.45,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,6th choice,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Services/Security/Sales,Machine Operators,130.3,yes,no,no,yes,female,yes,18,no,0,7,7,6,12.6,0,0,7,7,6,12.6,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,123.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Armed Forces,116.7,yes,no,no,yes,female,no,20,no,0,7,7,7,12.48571429,0,0,8,12,8,12.9375,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,3rd choice,Communication Design,daytime,Secondary education,135.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,134.0,yes,no,no,yes,female,yes,22,no,0,6,10,5,10.8,0,0,6,7,5,12.8,0,12.7,3.7,-1.7,Graduate
single,Change of course,2nd choice,Advertising and Marketing Management,daytime,Secondary education,151.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Legislative/Executives,Legislative/Executives,100.0,no,no,yes,yes,female,no,20,no,0,6,12,5,12.2,0,0,6,8,5,14.6,0,13.9,-0.3,0.79,Enrolled
single,Technological specialization diploma holders,2nd choice,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Secondary Education,Secondary Education,Technicians,Skilled Workers,140.0,yes,no,no,yes,female,no,20,no,2,6,11,5,14.2,0,0,6,12,2,13.5,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent ,3rd choice,Social Service,daytime,Secondary education,136.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Machine Operators,139.2,yes,no,no,yes,female,no,18,no,0,6,7,6,13.83333333,0,0,6,6,6,14.0,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,2nd choice,Basic Education,daytime,Secondary education,142.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Legislative/Executives,132.6,no,no,no,yes,female,no,18,no,0,6,8,5,12.8,0,0,6,14,3,10.0,0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,4th choice,Management,daytime,Secondary education,142.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Services/Security/Sales,Legislative/Executives,129.4,no,no,no,yes,female,no,18,no,0,5,5,5,13.2,0,0,5,6,4,12.5,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,2nd choice,Advertising and Marketing Management,daytime,Secondary education,127.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Administrative,Skilled Workers,125.6,no,no,yes,yes,female,yes,18,no,0,6,7,1,14.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,2nd choice,Social Service,daytime,Secondary education,131.0,Portuguese,Secondary Education,Secondary Education,Administrative,Armed Forces,129.3,no,no,no,yes,female,no,19,no,4,8,8,8,13.875,0,1,6,8,5,14.0,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,134.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Administrative,128.4,yes,no,no,yes,female,yes,19,no,0,5,7,5,12.5,0,0,5,8,5,12.71428571,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,3rd choice,Journalism and Communication,daytime,Secondary education,142.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,139.9,no,no,no,yes,female,yes,18,no,0,6,7,6,13.42857143,0,0,6,6,6,12.5,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,2nd choice,Communication Design,daytime,Secondary education,123.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Services/Security/Sales,124.8,no,no,no,no,female,yes,18,no,0,6,7,5,11.8,0,0,6,7,5,13.0,0,8.9,1.4,3.51,Enrolled
single,2nd phase - general contingent,4th choice,Nursing,daytime,Secondary education,133.0,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,128.5,yes,no,no,yes,female,yes,18,no,0,7,7,7,14.86857143,0,0,8,9,8,15.11111111,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Legislative/Executives,Legislative/Executives,117.8,yes,no,no,yes,female,no,18,no,0,7,10,7,13.03,0,0,8,8,8,13.21875,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,2nd choice,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Services/Security/Sales,Skilled Workers,115.1,yes,no,no,yes,female,no,19,no,0,6,7,6,14.57142857,0,0,6,7,6,12.33333333,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,3rd choice,Social Service,daytime,Secondary education,125.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technicians,Technicians,118.0,yes,no,no,yes,female,no,18,no,0,6,9,5,11.0,0,0,6,9,4,11.25,0,8.9,1.4,3.51,Graduate
single,Over 23 years old,2nd choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Administrative,120.0,no,no,no,yes,female,yes,25,no,0,8,8,8,13.3675,0,0,8,8,8,13.3675,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,119.6,yes,no,no,yes,female,yes,19,no,0,7,7,6,12.80833333,0,0,8,11,7,12.82571429,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,7th choice,Nursing,daytime,Secondary education,143.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Technicians,Technicians,133.2,yes,no,no,yes,female,no,18,no,0,7,7,7,13.91857143,0,0,8,9,8,13.8875,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,2nd choice,Equinculture,daytime,Secondary education,147.0,Portuguese,Master's,Secondary Education,Intellectuals,Armed Forces,141.8,yes,no,no,yes,female,no,19,no,0,6,8,6,13.0,0,0,6,9,4,12.8,0,13.9,-0.3,0.79,Graduate
married,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Administrative,Services/Security/Sales,130.3,no,no,no,yes,female,no,18,no,0,7,7,6,13.68333333,0,0,7,7,6,13.68333333,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,2nd choice,Veterinary Nursing,daytime,Secondary education,150.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Administrative,Armed Forces,100.0,no,no,no,yes,female,no,24,no,1,6,11,5,13.0,0,1,6,12,1,12.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent ,3rd choice,Journalism and Communication,daytime,Secondary education,124.0,Portuguese,Degree,Degree,Technicians,Administrative,114.6,yes,no,no,yes,female,no,21,no,0,6,8,5,12.8,0,0,6,7,5,11.2,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,3rd choice,Tourism ,daytime,Secondary education,136.0,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Administrative,123.4,yes,no,no,yes,female,yes,18,no,0,6,9,6,13.57142857,0,0,6,6,6,12.16666667,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,116.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Farmers,116.4,yes,no,no,yes,female,no,18,no,0,6,6,6,13.16666667,0,0,6,6,6,13.16666667,0,8.9,1.4,3.51,Graduate
married,1st phase - general contingent ,2nd choice,Communication Design,daytime,Secondary education,127.0,Portuguese,Other 11th,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,123.2,no,no,no,yes,female,yes,20,no,0,6,6,6,15.0,0,0,6,6,6,14.5,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,2nd choice,Communication Design,daytime,Secondary education,117.0,Portuguese,Master's,Basic Ed 3rd Cycle,Technicians,Services/Security/Sales,123.7,yes,no,no,yes,female,no,19,no,0,6,6,6,12.66666667,0,0,6,8,5,11.4,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,3rd choice,Journalism and Communication,daytime,Secondary education,116.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Administrative,Skilled Workers,127.6,yes,no,no,yes,female,yes,19,no,0,6,7,6,13.85714286,0,0,6,7,6,13.14285714,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,129.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,117.1,yes,no,no,yes,female,no,30,no,0,7,7,7,14.69285714,0,0,8,8,8,14.9625,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,157.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Services/Security/Sales,Technicians,149.3,no,no,no,yes,female,no,18,no,0,8,8,8,14.035,0,0,8,8,8,14.035,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,2nd choice,Veterinary Nursing,daytime,Secondary education,135.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Administrative,Armed Forces,125.6,yes,no,no,yes,female,no,18,no,0,5,8,4,11.0,1,0,5,8,3,14.0,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,139.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,145.0,yes,no,no,yes,female,yes,18,no,0,6,6,6,13.33333333,0,0,6,6,6,13.33333333,0,9.4,-0.8,-3.12,Graduate
single,3rd phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,115.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Services/Security/Sales,115.0,no,no,no,yes,female,no,20,no,0,7,13,6,11.7725,0,0,8,9,7,12.33,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent ,2nd choice,Tourism ,daytime,Secondary education,123.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Administrative,Skilled Workers,114.3,no,no,no,yes,female,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,Change of course,3rd choice,Tourism ,daytime,Secondary education,140.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,126.0,yes,no,no,yes,female,no,19,no,0,6,0,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,138.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Skilled Workers,Skilled Workers,124.0,yes,no,no,no,female,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent ,5th choice,Tourism ,daytime,Secondary education,132.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Services/Security/Sales,Farmers,122.6,yes,no,no,yes,female,yes,18,no,0,6,7,6,12.28571429,0,0,6,6,6,12.0,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,140.0,Portuguese,Degree,Basic Ed 3rd Cycle,Intellectuals,Technicians,133.8,yes,no,no,yes,female,no,17,no,0,8,14,5,12.46,0,0,8,14,5,12.46,0,10.8,1.4,1.74,Enrolled
single,3rd phase - general contingent ,2nd choice,Basic Education,daytime,Secondary education,117.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Administrative,Student,113.5,yes,no,no,yes,female,no,19,no,0,7,10,6,12.16666667,0,0,7,9,6,13.16666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,5th choice,Social Service,daytime,Secondary education,125.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Administrative,Services/Security/Sales,122.6,yes,yes,no,yes,female,no,18,no,0,6,9,5,11.83333333,0,0,6,8,2,11.5,0,13.9,-0.3,0.79,Enrolled
single,Holders of other higher courses,2nd choice,Nursing,daytime,degree,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Administrative,Administrative,140.0,no,no,no,yes,female,no,25,no,0,8,8,7,14.80571429,0,0,8,8,7,14.80571429,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,133.1,Portuguese,Other 11th,Basic Ed 2nd Cycle,Administrative,Unskilled Workers,107.0,yes,no,no,yes,female,no,19,no,0,6,11,5,10.6,0,0,6,10,6,11.71428571,0,11.1,0.6,2.02,Dropout
single,Short cycle diploma holders,2nd choice,Veterinary Nursing,daytime,Professional higher technical course,130.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Unskilled Workers,130.0,yes,no,yes,no,female,no,24,no,7,9,9,8,13.125,0,4,9,13,6,13.0,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,134.0,Portuguese,Secondary Education,Secondary Education,Administrative,Unskilled Workers,124.2,yes,no,yes,yes,female,yes,19,no,0,6,6,6,12.83333333,0,0,6,6,6,12.66666667,0,9.4,-0.8,-3.12,Graduate
single,3rd phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,128.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Administrative,125.8,no,no,no,yes,female,yes,20,no,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent ,2nd choice,Advertising and Marketing Management,daytime,Secondary education,115.0,Portuguese,Secondary Education,Secondary Education,Services/Security/Sales,Administrative,108.0,yes,no,no,yes,female,yes,20,no,0,6,9,5,13.0,0,0,6,6,5,13.8,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,3rd choice,Nursing,daytime,Secondary education,119.0,Portuguese,Secondary Education,Secondary Education,Administrative,Administrative,115.2,yes,no,no,yes,female,yes,20,no,0,7,8,7,12.725,0,0,8,8,8,13.7125,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,2nd choice,Veterinary Nursing,daytime,Secondary education,131.0,Portuguese,Secondary Education,Degree,Administrative,Legislative/Executives,129.3,yes,no,no,yes,female,no,19,no,0,5,10,4,11.25,1,0,5,10,3,10.33333333,0,12.7,3.7,-1.7,Graduate
single,Holders of other higher courses,2nd choice,Agronomy,daytime,master's,120.0,Portuguese,Degree,Secondary Education,Intellectuals,Administrative,120.0,yes,no,no,yes,female,no,31,no,8,12,12,11,13.81818182,0,4,12,16,12,13.46153846,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,120.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Technicians,Administrative,116.7,no,no,no,yes,female,no,20,no,0,5,12,3,12.33333333,2,0,5,8,3,13.0,1,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,4th choice,Veterinary Nursing,daytime,Secondary education,135.0,Portuguese,Degree,Bachelor's,Administrative,Technicians,121.0,yes,no,no,yes,female,no,18,no,0,5,14,3,12.33333333,2,0,5,8,5,11.6,0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,2nd choice,Basic Education,daytime,Secondary education,146.0,Portuguese,Secondary Education,Secondary Education,Technicians,Administrative,128.2,no,no,yes,yes,female,no,18,no,0,6,8,4,13.25,0,0,6,10,3,10.66666667,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent ,5th choice,Advertising and Marketing Management,daytime,Secondary education,133.0,Portuguese,Secondary Education,Bachelor's,Administrative,Skilled Workers,121.1,yes,no,no,yes,female,no,18,no,0,6,7,6,13.66666667,0,0,6,9,5,15.4,0,13.9,-0.3,0.79,Graduate
